Nigerian,water (0.024192226335554914),salt (0.022960824545831614),lemon juice (0.02027845568339542),olive oil (0.01888635148373291),butter (0.01740400716701773),ginger (0.017129338926208767),onion (0.017077716442408068),milk (0.0167618515143194),cumin (0.01672338617898926),egg (0.01630788108916987),sugar (0.016056510950711866),black pepper (0.015564351338422374),cinnamon (0.015430355619135708),oil (0.015211645310799672),lemon (0.01505043957873885),cream (0.01471627572681423),tomato (0.01417532129760908),garlic (0.013333778149710327),garlic clove (0.012735025770966633),potato (0.012226005857493878),salt pepper (0.012116923146934546),coriander (0.011909230835603342),pepper (0.010954072180719254),vegetable oil (0.01071257166185583),parsley (0.010418228404164113),salt black pepper (0.01030590873331683),brown sugar (0.010236412621124399),paprika (0.010155828946163088),carrot (0.009840517274533224),turmeric (0.00930124642141747),flour (0.009147013951372872),coconut milk (0.008075307507084592),mint (0.007884914735363803),chicken broth (0.007771201535903684),coconut (0.0075614608374730006),baking powder (0.007332481006117339),nutmeg (0.0071566668459407505),honey (0.007101597626272662),cayenne pepper (0.006882536100106886),almond (0.006858615786034608),peanut (0.006691383245328873),raisin (0.006455247970428119),thyme (0.006287677128856859),cardamom (0.006010345058170391),canola oil (0.005950812296024994),chili powder (0.005931374088089677),red onion (0.005831681883330799),chickpea (0.005821977999870126),orange (0.005698831902857001),curry powder (0.005611624084206332)
Chinese,water (0.02007955738525349),salt (0.018523365955147152),garlic (0.017185897558272073),garlic clove (0.017044884566358092),black pepper (0.01664846270431055),egg (0.016158533244884313),sugar (0.015748127361850404),onion (0.015296512425665371),ginger (0.015189767885421925),butter (0.015066105612219683),soy sauce (0.01488026235281929),vegetable oil (0.014811761153173345),green onion (0.014549909128655898),chicken broth (0.013970335491101703),rice (0.013934212777066265),carrot (0.013563978564469243),sesame oil (0.012781465563737746),scallion (0.012247944828417156),oil (0.012217540070603541),cornstarch (0.011953249851406417),pepper (0.011950689505932558),brown sugar (0.010197580451795158),chicken breast (0.010187197746806733),gingerroot (0.00869109305701763),peanut oil (0.008673072676506842),chicken (0.008473370975606275),sherry (0.00835952639925557),cilantro (0.008342372525368123),salt pepper (0.00833088663269873),olive oil (0.007958337350581489),milk (0.007861943759866149),celery (0.007759796630245763),honey (0.007754288522218988),water chestnut (0.007701016766778028),white rice (0.007538536926272467),white pepper (0.0074614018766396865),red bell pepper (0.00739491439068358),chicken stock (0.006979467026361648),oyster sauce (0.006742839860116428),red pepper flake (0.006353606555067821),mushroom (0.006330948869252912),white sugar (0.006169508059962678),flour (0.0060815574508464665),red pepper (0.006011362181460923),lemon juice (0.006007120934364985),sesame seed (0.0060004895849419095),shrimp (0.005963697973370314),canola oil (0.00588684600794103),dark soy sauce (0.005854147965550377),pork (0.005844581972138115)
Greek,feta cheese (0.019734160398954186),water (0.0195645689781852),lemon juice (0.01946784189195293),garlic clove (0.019245903939553027),pepper (0.0182948482891605),black pepper (0.017854422090262),onion (0.017216123585142157),olive oil (0.017179744230966743),tomato (0.016100577331873155),kalamata olive (0.015705611964040193),oregano (0.015629788564278265),lemon (0.015592753720862771),salt pepper (0.0150661917041921),butter (0.014330100778395742),garlic (0.014232218206002137),sugar (0.01400023536050151),salt (0.013807284516228414),egg (0.012674256106467986),parsley (0.012312618908783001),honey (0.011794371880476134),cinnamon (0.011162292400003333),basil (0.01106260138901715),extra virgin olive oil (0.01005649371099117),red onion (0.009987713140798743),mint (0.009270307655504854),salt black pepper (0.008588875205680604),milk (0.008309929518312192),flour (0.008274152781336136),parmesan cheese (0.008153726531861395),walnut (0.008071593552797355),sea salt (0.007997969637394523),nutmeg (0.007891670559787413),plain yogurt (0.007877890150000386),greek yogurt (0.007858869261613067),black olive (0.007571489287124302),cucumber (0.007475959647461617),carrot (0.007340244738958214),spinach (0.0073398557805812465),red wine vinegar (0.007270784415320956),dill (0.0068277643829856224),white wine (0.0066433820678511776),lemon zest (0.006634423038362144),purpose flour (0.006401612620954089),tomato paste (0.0063401659616551375),thyme (0.0058514415518192905),feta (0.005827410472366859),egg yolk (0.00579797730427483),rosemary (0.005387482930058288),mozzarella cheese (0.005270154451013731),green onion (0.005157560578607336)
French,salt (0.027214962454933767),sugar (0.021995902388384933),butter (0.02101619006021168),water (0.02080672430925973),egg (0.019527174941900115),milk (0.018412769006138346),black pepper (0.017147814536546447),pepper (0.016374023659632583),purpose flour (0.016307709061146848),flour (0.016212389976427464),lemon juice (0.016208446207365373),olive oil (0.015849412210119644),cream (0.014306827261605698),garlic clove (0.014177850323558219),nutmeg (0.013882864517457402),heavy cream (0.013019950434996005),salt pepper (0.012812700343128761),parsley (0.012315890542468804),thyme (0.012162687518774536),brown sugar (0.011861098120123795),onion (0.011287213283941893),salt black pepper (0.011034454571102704),vegetable oil (0.010785698681229047),garlic (0.01060016864773504),lemon (0.010467283335793533),bay leaf (0.01043745808447076),egg white (0.010424223891268188),white wine (0.010280269462685995),french bread (0.010051900318022042),oil (0.009596251531364597),extra virgin olive oil (0.009383498810154066),shallot (0.009051239820673483),kosher salt (0.008913626640577784),cinnamon (0.00874783537497768),dijon mustard (0.00853143904084314),parmesan cheese (0.008318736058921621),carrot (0.008142619771023539),mushroom (0.00785101928912918),basil (0.007336106619863009),tomato (0.007285137706515152),cornstarch (0.007209416918472078),almond (0.007080791031925721),cream cheese (0.0070455311339729125),vanilla extract (0.00686563847470851),chicken broth (0.00685968778616734),whipping cream (0.006575793310867811),chive (0.006564622823012845),egg yolk (0.0065201225495473605),bacon (0.006272944773047026),sea salt (0.006069907227889427)
Australian,cream (0.027250173309734227),water (0.022381162939365127),lemon juice (0.021547903049968887),salt (0.021127405516981175),butter (0.019242883958377026),black pepper (0.01834707971799637),egg (0.01812812357469484),olive oil (0.01753073281519227),milk (0.017368308967188276),garlic clove (0.01736752827567171),sugar (0.016376048159205316),brown sugar (0.016262504917014288),onion (0.015293272174274963),lemon (0.014887892937428097),parsley (0.01316874960572907),salt pepper (0.011769342146575951),plain flour (0.011506622147259305),garlic (0.011017838268951221),vegetable oil (0.010788872935555192),caster sugar (0.010742190307893754),potato (0.010571580276705071),tomato (0.010480232477079576),honey (0.010299275497082148),pepper (0.009985106017896008),orange juice (0.009956816288097595),cinnamon (0.009927807879860006),ginger (0.009714607807253098),carrot (0.009564276565903067),oil (0.009485782005481511),green onion (0.00877144722158775),flour (0.008266987517369657),almond (0.008051072031952574),lime juice (0.007595607796411758),red onion (0.007425804242649121),strawberry (0.007186752594155154),self raising flour (0.006904072302765917),parmesan cheese (0.006713552095404765),nutmeg (0.006510022302540817),soy sauce (0.006132372660013366),orange (0.006097473064779214),red capsicum (0.006023227067425845),sea salt (0.006010815604646773),white wine (0.005983597524027223),cream cheese (0.0058254602349752166),paprika (0.0057122790357450005),mint (0.005679528228467037),lemon zest (0.005374470990378083),sesame seed (0.005234278410438271),salt black pepper (0.005210793677106869),cornflour (0.0051985777965980196)
Italian,cream (0.00990531569186632),oil (0.008883990657223794),kosher salt (0.008305554828630941),heavy cream (0.007654561583809723),flour (0.007654508186646062),lemon (0.00760339461390922),red wine (0.006237665266957823),sea salt (0.00605826589296009),vegetable oil (0.005976246903211643),flat leaf parsley (0.00570863176778942),milk (0.0054799023945851216),white wine (0.005415838466503423),yellow onion (0.005379592035474181),green onion (0.005346314888782196),plum tomato (0.005339886047128353),carrot (0.005292874286520331),egg white (0.0051727514057638025),purpose flour (0.00516470800854685),ricotta cheese (0.005009012420765461),salt black pepper (0.004997181700990244),lemon juice (0.004986467402934398),almond (0.004841642488062333),nutmeg (0.004632276646816228),pine nut (0.004628761593560744),cornstarch (0.004602983945462658),chicken (0.004551438634179404),thyme (0.004549591671529218),prosciutto (0.004466081223565308),balsamic vinegar (0.004408161017711764),chicken stock (0.004392953059318075),basil leaf (0.004388906986530568),honey (0.004382916222841347),marjoram (0.004375754075082225),half (0.00430639693245816),sugar (0.004294345017871085),walnut (0.004236367751702468),lemon zest (0.0042058505823317875),orange zest (0.0041969786749081455),caper (0.004182299916540786),cinnamon (0.004177634876696278),pancetta (0.004132621496691253),rosemary (0.004130459822964504),red onion (0.004110960633889723),red pepper (0.004060861777123733),zucchini (0.0039903034328569184),sun tomato (0.0039759257311990405),brown sugar (0.003951015094862898),cream cheese (0.003899279599843916),bay leaf (0.003888653014113498),feta cheese (0.0038706284143043765)
Thai_bc_no_com,ginger (0.018165247017045267),salt (0.017750513939950755),water (0.017449735392081566),garlic clove (0.017073555051650573),sugar (0.016802080772071064),soy sauce (0.016046913032417686),lime juice (0.015726550791818974),garlic (0.015608479374416945),brown sugar (0.015422619543756884),peanut (0.014906555708116203),fish sauce (0.014661752244417578),sesame oil (0.013377284163070859),cilantro (0.012808231133435152),carrot (0.012164235489964944),chicken breast (0.011927817887547973),olive oil (0.011854265642941557),coconut milk (0.011185760889752306),green onion (0.01056116617344157),shallot (0.010560482578582452),coriander (0.01045606555393069),red pepper flake (0.01039347294235125),vegetable oil (0.01026367713022294),lime (0.009851829120430932),lemongrass (0.009728964941095602),scallion (0.009560030343394801),gingerroot (0.009357524579765712),basil (0.009260889471103824),oil (0.008655165115585232),canola oil (0.008526131221005227),lemon juice (0.007925920526977747),peanut butter (0.007814420541740887),mint (0.0078099878154880165),rice vinegar (0.007660883693724114),red onion (0.007656250545665982),honey (0.007597496739900195),bean sprout (0.007438261340417869),red pepper (0.007130364746427596),onion (0.007101779329422965),sesame seed (0.007082249306000783),cucumber (0.006792381381647826),chicken broth (0.00674171980129927),egg (0.00672646093969671),tomato (0.0064323309065429215),pepper (0.005836796189174054),chicken (0.005773034150893707),black pepper (0.0057432243438447165),coconut (0.0057347711594389755),white sugar (0.005717616556119505),mushroom (0.005627948687413885),peanut oil (0.005582263604554309)
Thai,ginger (0.018165247017045267),salt (0.017750513939950755),water (0.017449735392081566),garlic clove (0.017073555051650573),sugar (0.016802080772071064),soy sauce (0.016046913032417686),lime juice (0.015726550791818974),garlic (0.015608479374416945),brown sugar (0.015422619543756884),peanut (0.014906555708116203),fish sauce (0.014661752244417578),sesame oil (0.013377284163070859),cilantro (0.012808231133435152),carrot (0.012164235489964944),chicken breast (0.011927817887547973),olive oil (0.011854265642941557),coconut milk (0.011185760889752306),green onion (0.01056116617344157),shallot (0.010560482578582452),coriander (0.01045606555393069),red pepper flake (0.01039347294235125),vegetable oil (0.01026367713022294),lime (0.009851829120430932),lemongrass (0.009728964941095602),scallion (0.009560030343394801),gingerroot (0.009357524579765712),basil (0.009260889471103824),oil (0.008655165115585232),canola oil (0.008526131221005227),lemon juice (0.007925920526977747),peanut butter (0.007814420541740887),mint (0.0078099878154880165),rice vinegar (0.007660883693724114),red onion (0.007656250545665982),honey (0.007597496739900195),bean sprout (0.007438261340417869),red pepper (0.007130364746427596),onion (0.007101779329422965),sesame seed (0.007082249306000783),cucumber (0.006792381381647826),chicken broth (0.00674171980129927),egg (0.00672646093969671),tomato (0.0064323309065429215),pepper (0.005836796189174054),chicken (0.005773034150893707),black pepper (0.0057432243438447165),coconut (0.0057347711594389755),white sugar (0.005717616556119505),mushroom (0.005627948687413885),peanut oil (0.005582263604554309)
German,water (0.046395582881924115),milk (0.030759447386244285),flour (0.029734013323507176),butter (0.02821051985830245),sugar (0.027716272644080973),salt (0.024721895459062067),purpose flour (0.021728032196830938),cream (0.02116101629672709),brown sugar (0.01965403257004645),lemon juice (0.018623734634080683),black pepper (0.018327855058494137),egg (0.01606443990255851),nutmeg (0.016026127175653507),onion (0.015417669491020292),cinnamon (0.014977696681719853),pepper (0.013739328334281783),oil (0.013696108184518425),garlic clove (0.012785528022312241),olive oil (0.012362632059880746),parsley (0.01203662904063125),lemon (0.011898299600562207),margarine (0.011802776609155506),cornstarch (0.011479612081025001),sauerkraut (0.011472328253345761),potato (0.011356826072927671),egg yolk (0.010986184468860943),vegetable oil (0.010740401422317246),salt pepper (0.010499201239932992),clove (0.010452086423089176),bacon (0.01011878079094255),caraway seed (0.010061078017269598),baking powder (0.009545076479908871),kosher salt (0.008878897231615175),allspice (0.008715015866892323),heavy cream (0.008526994545909697),white pepper (0.008508207935920664),white wine (0.008237300861368571),carrot (0.008170894388805113),apple (0.008122828327624902),almond (0.007641257193076873),buttermilk (0.007507960535260388),bay leaf (0.007465431763975758),dill (0.007276319782920502),vinegar (0.007101338773688255),paprika (0.006785279754947017),lemon zest (0.006778390762468772),celery (0.006749116720210371),breadcrumb (0.006712117991035527),honey (0.006705849800351991),egg white (0.006589927249920011)
Argentine,water (0.022244493900974854),salt (0.01928887762060593),black pepper (0.01817413361330142),garlic (0.01762429667166736),pepper (0.017570963940002023),garlic clove (0.016149203211129136),olive oil (0.01548245148800123),tomato (0.015427427664757753),onion (0.014327527394163623),vegetable oil (0.01425607131573019),beef (0.01415694108419667),salt pepper (0.014005087062560843),carrot (0.012758886660772356),worcestershire sauce (0.01244633677281349),beef broth (0.012233746204675926),butter (0.012211650114842128),mushroom (0.011913352700337209),sugar (0.011454929524683239),green onion (0.010928480206907438),cream (0.010852364891601579),egg (0.010473972253824562),potato (0.009859247885397465),soy sauce (0.009657559782509102),flour (0.009557241192578106),oil (0.009537650540120714),chili powder (0.008455307542840048),garlic powder (0.00838664981902172),parsley (0.00813754135240667),tomato paste (0.0076887580734289656),ginger (0.00767804780654567),green pepper (0.007675968566861219),brown sugar (0.007356843556662464),purpose flour (0.007268977896795772),thyme (0.007107651628632105),dijon mustard (0.007070794226706999),rice (0.007052971260112078),paprika (0.007011300862699321),oregano (0.006829843368715304),basil (0.006808311848606862),celery (0.006597262800015702),cumin (0.006519167270450543),milk (0.00641629226129996),red wine (0.006297036215321662),tomato sauce (0.0062468587755634295),cornstarch (0.006237194359139802),bay leaf (0.006039289957651651),steak (0.005971125761012409),red pepper (0.005862762426839587),cheddar cheese (0.005701059686159753),kosher salt (0.005698956233326302)
